customer_id,age,income,credit_score,employment_type,city,loan_amount,tenure_months,interest_rate,days_late,default_flag
45,34,76073,318,Student,East Wayne,76392,12,14.75,19,0
46,53,25771,773,Business,New Juan,213494,6,24.48,40,0
47,54,105296,691,Salaried,South Katieside,177638,6,25.89,74,0
48,30,145025,884,Freelancer,East Davidland,38251,6,12.34,53,0
49,53,115842,663,Business,Samanthashire,497196,12,14.41,77,0
50,47,51980,419,Business,East Susanton,28792,12,26.7,2,0
51,25,135771,848,Salaried,Christophertown,302900,12,20.73,85,0
52,46,80841,420,Student,East Joshua,379237,24,12.41,55,1
53,23,73627,765,Business,Harrellton,46842,24,10.64,33,0
54,57,55387,393,Student,Wilsonberg,242784,24,17.43,75,1
55,23,32923,392,Business,East Justinland,112528,48,27.51,58,1
56,41,99758,761,Student,West Brandon,318291,48,18.5,51,0
57,38,43489,847,Salaried,Port Caseymouth,325094,48,13.4,60,0
58,57,25426,398,Freelancer,Martinezfurt,275095,48,18.25,34,1
59,59,33120,476,Salaried,East Georgeshire,104296,48,23.57,45,1
60,28,58873,535,Business,Jessicaberg,150118,48,14.19,19,0
61,50,20212,366,Student,South Katherinechester,62137,48,14.11,30,0
62,28,62174,643,Salaried,East Marcus,61366,36,15.18,26,0
63,46,104500,537,Student,Jamesburgh,143877,6,11.48,3,0
64,36,78630,836,Salaried,Lake Phillip,157359,6,16.7,14,0
65,30,91544,856,Salaried,New Christina,287790,36,26.35,61,0
66,25,56598,383,Business,Saramouth,238516,48,12.3,56,1
67,35,109914,711,Student,Williamsside,392503,36,15.82,15,0
68,32,63898,803,Business,South Anthonyside,11734,36,10.73,14,0
69,46,140850,425,Freelancer,Michaelburgh,193812,12,20.29,6,0
70,23,141397,427,Student,Christopherburgh,266041,36,10.74,54,1
71,49,105544,458,Freelancer,Watsonside,181642,12,24.05,47,1
72,29,31301,792,Salaried,New Annaberg,16095,24,25.87,23,0
73,44,21873,545,Business,North Tracychester,21457,12,19.99,68,1
74,46,15179,594,Student,South Jorgeville,445451,36,21.59,39,0
75,56,50338,863,Salaried,Brianhaven,328484,48,12.35,22,0
76,50,144844,507,Student,Stephanieshire,475074,24,20.92,54,1
77,44,92464,667,Business,Amberside,181227,6,26.54,1,0
78,36,15448,445,Student,East Brandon,206446,24,26.98,9,0
79,55,89217,897,Salaried,Port Miguelport,455500,6,19.77,51,0
80,25,117007,863,Freelancer,Johnsonberg,364718,12,22.39,12,0
81,45,17736,768,Freelancer,Paynebury,331391,6,24.74,62,0
82,41,21581,403,Salaried,Port Bryan,346061,6,12.55,83,1
83,52,118947,704,Salaried,Gutierrezstad,89465,24,11.76,86,0
84,30,130706,553,Student,Angelabury,236705,36,12.31,35,0
85,21,117808,355,Business,New Lisa,493298,36,25.34,56,1
86,41,55812,723,Student,New Davidfort,144562,12,22.55,10,0
87,34,57976,393,Student,New Kristina,68975,24,21.16,16,0
88,47,20399,470,Salaried,New Chris,168683,24,11.1,10,0
89,47,33411,548,Salaried,New Sarah,62372,6,25.93,4,0
90,22,38050,364,Student,Tiffanyville,309002,36,16.39,69,1
91,55,72905,836,Salaried,Brownburgh,314736,6,18.94,66,0
92,27,132849,886,Freelancer,Christinaville,132326,12,11.6,60,0
93,25,110268,368,Freelancer,Jordanstad,19167,6,20.51,55,1
94,32,135894,787,Salaried,Brianport,147430,12,20.37,15,0
95,31,60018,820,Business,Kennedymouth,191197,36,22.91,72,0
96,32,83316,304,Freelancer,North Joyshire,240133,24,11.21,59,1
97,52,17521,582,Business,Karenberg,391482,12,14.44,18,0
98,50,121633,440,Freelancer,New Elizabethview,209665,24,11.8,72,1
99,37,100824,891,Student,Leemouth,19267,36,21.94,23,0
100,48,133260,386,Student,North Michaelton,315006,36,14.34,69,1
101,32,29894,347,Student,Fullertown,295760,6,15.05,64,1
102,47,100706,562,Student,New Barbara,477338,48,16.08,57,0
103,54,91650,865,Business,Nancyfurt,326854,48,25.53,37,0
104,59,147102,462,Freelancer,Reginaldshire,413282,12,26.25,29,0
105,59,72957,419,Student,Lake Carla,48526,48,23.27,19,0
106,45,96506,726,Freelancer,East Brent,132576,36,16.23,47,0
107,29,39554,777,Business,Stephenmouth,143444,48,11.94,67,0
108,44,92602,485,Student,Priceshire,114862,36,24.65,0,0
109,57,15610,659,Salaried,Armstrongchester,272683,48,22.8,29,0
110,42,75904,355,Salaried,Elliottmouth,59946,36,25.16,5,0
111,58,110380,684,Salaried,South Paulton,186443,36,17.47,24,0
112,31,33107,586,Student,East Michael,139398,6,19.28,43,0
113,39,93156,378,Freelancer,South Adam,427036,24,18.17,17,0
114,50,16812,683,Student,East Brian,124278,24,16.84,0,0
115,28,30888,835,Student,Howardfort,40086,24,21.08,17,0
116,52,66857,407,Business,East Christopherport,251427,48,19.97,6,0
117,32,148647,519,Student,Williamsport,395613,48,27.52,57,1
118,52,111826,715,Business,Port Ashley,328058,24,13.6,60,0
119,36,80896,458,Student,Jennifershire,162637,6,22.95,4,0
120,45,23726,695,Salaried,Perezfurt,359206,12,23.0,29,0
121,49,113373,874,Freelancer,South Vanessafort,446346,48,17.23,57,0
122,36,120419,507,Student,Lake Robert,327749,24,12.61,46,1
123,26,61550,562,Freelancer,Craigbury,154847,48,22.22,23,0
124,23,43991,592,Salaried,South Alyssa,480673,12,16.47,6,0
125,44,33795,838,Student,New Heatherburgh,80897,6,12.0,58,0
126,52,79968,338,Freelancer,New Katieview,488715,48,16.89,77,1
127,43,95199,360,Freelancer,Port Juliantown,128732,6,22.61,12,0
128,27,65514,808,Salaried,Schmidtfurt,470715,12,26.57,26,0
129,46,17744,819,Student,East Jamesburgh,464504,48,20.27,7,0
130,43,31984,313,Salaried,Port Judithville,255377,24,11.03,32,1
131,43,131040,661,Student,Ryanland,458669,36,22.51,83,0
132,47,51788,359,Freelancer,Rodriguezland,328384,12,17.69,66,1
133,34,149569,415,Freelancer,Robinsonmouth,96088,12,16.63,50,1
134,43,69954,831,Salaried,Brownfort,93785,24,26.41,78,0
135,23,121824,581,Salaried,Port Alyssa,120676,24,14.71,45,0
136,21,46522,733,Business,West Kimberly,224512,48,24.24,39,0
137,34,123215,428,Student,Andrewshire,47078,12,24.95,54,1
138,30,67048,632,Business,South Alexander,440599,48,12.45,69,0
139,57,68767,626,Freelancer,North Cheyenneport,373401,12,16.35,74,0
140,50,94639,681,Business,Charlesmouth,279905,6,26.59,15,0
141,59,131476,868,Salaried,South Mollyside,461255,6,26.36,76,0
142,52,127458,441,Freelancer,Sherriborough,130821,48,17.17,32,1
143,56,96778,311,Salaried,New Jason,79618,12,24.51,21,0
144,33,138896,495,Salaried,Brittanyfort,102140,48,17.83,86,1
145,35,149675,756,Student,New Mariemouth,233440,24,20.65,63,0
146,54,146074,765,Business,Jonesburgh,452283,24,27.41,19,0
147,43,52004,402,Business,East Nicole,415948,12,15.42,39,1
148,47,52892,518,Business,Barnettside,458260,48,19.73,78,1
149,29,133211,817,Student,Clarkfurt,491621,48,22.24,21,0
150,33,104072,704,Student,Andrewmouth,279077,6,20.91,11,0
151,46,129537,498,Business,Port Rachaelview,232044,24,16.16,14,0
152,34,18479,336,Salaried,North Hollyview,348118,24,11.48,1,0
153,53,128703,487,Freelancer,Lake Markberg,462786,24,23.99,63,1
154,44,112699,420,Student,South Juliefort,317189,48,21.94,69,1
155,45,20739,375,Freelancer,Cainmouth,375113,48,19.66,49,1
156,38,52528,874,Student,Mcdonaldville,392299,36,23.04,54,0
157,28,56043,741,Business,Michelleshire,438328,24,25.22,72,0
158,55,113823,649,Salaried,Lake Selena,222082,24,23.87,42,0
159,56,121811,822,Freelancer,New Carrie,390579,48,27.57,72,0
160,33,63911,433,Business,New William,486173,6,24.43,29,0
161,44,122715,450,Business,Patriciabury,361850,48,18.52,7,0
162,46,43379,647,Salaried,Port Amandamouth,425283,36,26.64,82,0
163,29,29407,369,Student,South Tonyland,251392,6,21.91,20,0
164,53,149118,476,Student,Bondbury,329527,48,11.02,11,0
165,31,146221,612,Business,Port Laurafort,79830,6,24.74,52,0
166,54,34427,401,Freelancer,Jamesport,450448,36,12.83,29,0
167,41,105248,585,Business,Miguelchester,185300,36,10.15,70,0
168,35,36664,358,Business,Port Stacey,361712,24,13.25,16,0
169,25,147530,652,Student,Port Lisastad,335607,48,18.33,10,0
170,38,99800,845,Student,Port Timothyfort,174891,6,24.71,5,0
171,52,127226,688,Salaried,West Destiny,145045,36,13.39,76,0
172,54,22481,382,Salaried,West Glenside,432674,6,26.45,2,0
173,58,39902,323,Freelancer,Prestonmouth,319043,12,23.72,37,1
174,45,124919,380,Student,East Tina,147570,36,18.58,21,0
175,27,142304,530,Salaried,New Kathy,328524,24,19.4,48,1
176,33,92441,405,Business,Carlosview,112914,24,13.73,37,1
177,26,108496,556,Business,Paigehaven,272415,24,19.11,82,0
178,35,145927,612,Business,North Diane,195038,36,20.1,12,0
179,45,91156,483,Freelancer,Perezburgh,319576,12,17.87,0,0
180,44,115456,603,Business,Jamesmouth,451708,36,25.0,81,0
181,21,22745,422,Freelancer,Brownmouth,292291,48,26.12,73,1
182,51,89140,442,Student,New Meghan,264576,48,20.41,2,0
183,27,144017,636,Salaried,Ewingmouth,313121,6,20.79,24,0
184,58,70468,650,Business,Port Samanthaside,246903,12,16.92,64,0
185,30,54227,648,Student,Kylemouth,37165,48,17.82,42,0
186,54,102899,449,Student,Marilynbury,232389,48,27.11,21,0
187,38,112156,738,Business,Jillside,394017,48,27.93,28,0
188,38,18999,449,Freelancer,South Judychester,331058,24,20.66,77,1
189,31,100849,570,Student,Barreraview,232358,36,24.94,24,0
190,48,111464,897,Business,Lake Dianeburgh,30502,12,21.24,71,0
191,21,98291,496,Freelancer,Abigailfort,114541,36,19.49,76,1
192,30,34763,347,Freelancer,Joyceview,40608,24,27.65,47,1
193,55,108497,608,Student,Wolfeshire,156931,36,22.22,74,0
194,49,40642,494,Freelancer,West Shannonchester,388900,36,19.34,27,0
195,33,50627,473,Freelancer,West Marktown,305060,36,12.85,3,0
196,28,56965,459,Student,Benjaminfurt,108811,36,27.55,36,1
197,39,68934,685,Freelancer,Samanthamouth,84933,24,13.86,0,0
198,33,136320,865,Freelancer,Pooletown,324698,6,25.99,86,0
199,35,78322,686,Freelancer,Lake Debrafort,253489,24,16.98,44,0
200,55,97906,651,Student,Baxterfort,390143,48,16.07,37,0
201,23,149134,882,Student,South Nathan,269172,6,18.04,68,0
202,43,55642,706,Student,New Megan,433380,12,25.47,26,0
203,28,21666,649,Business,Lake James,167957,24,20.87,77,0
204,26,104532,422,Freelancer,South Angela,59403,12,27.93,54,1
205,51,48700,675,Salaried,Markberg,54856,48,21.41,15,0
206,54,134111,591,Salaried,South Alex,373121,36,14.6,68,0
207,47,144039,674,Salaried,Michaelchester,335656,36,10.55,77,0
208,47,113836,806,Business,Caldwellside,224985,36,17.29,67,0
209,28,84316,615,Freelancer,Mosleyport,258006,6,16.9,20,0
210,26,110951,613,Student,Danaport,454085,6,24.69,29,0
211,48,84513,528,Freelancer,Patrickmouth,315352,6,20.98,89,1
212,44,92703,890,Business,Bowersville,396267,6,21.13,29,0
213,58,109258,334,Business,Gomezberg,380615,36,16.37,51,1
214,45,118655,504,Salaried,Helenburgh,421106,24,27.26,56,1
215,33,114900,893,Salaried,Bakerhaven,62432,48,19.27,83,0
216,22,83839,848,Student,Lake Jasonton,230845,36,21.97,46,0
217,22,136957,650,Business,North Brianna,225669,6,11.32,27,0
218,38,28275,729,Freelancer,West Cassandratown,353311,24,19.58,64,0
219,41,103965,873,Freelancer,Harrisland,473639,6,14.51,33,0
220,39,63796,715,Business,South Dennisville,278795,36,24.46,36,0
221,50,115924,714,Freelancer,West Sydneyfurt,177150,12,14.71,48,0
222,47,108684,838,Salaried,Jacksonstad,78139,12,25.38,77,0
223,45,144985,489,Freelancer,Danielsstad,394342,36,12.91,56,1
224,39,81868,510,Student,West John,234929,12,13.32,71,1
225,45,74437,432,Student,Nancyside,379021,48,10.14,4,0
226,55,132425,582,Business,East Taraport,180360,12,17.36,69,0
227,33,116477,604,Student,West Michaelbury,75240,12,13.62,32,0
228,29,23691,450,Freelancer,Barnesmouth,89466,6,13.14,43,1
229,29,110018,419,Student,Malikmouth,11877,48,19.28,33,1
230,28,62912,408,Business,Port Melissa,466513,48,16.26,76,1
231,56,99093,607,Student,Port Michael,434692,48,27.02,81,0
232,54,15626,567,Business,Brookeside,87947,12,27.63,17,0
233,57,27762,550,Salaried,East Gregory,71013,12,11.83,49,0
234,38,23933,410,Business,Christinemouth,152025,36,14.49,24,0
235,37,65339,543,Student,North Kimberlytown,206801,12,11.77,61,1
236,31,108105,567,Salaried,Crawfordland,232203,12,11.67,43,0
237,40,74397,663,Salaried,West Stacieburgh,319709,36,18.0,49,0
238,39,124737,640,Freelancer,North Gabriel,21789,36,14.34,39,0
239,22,146953,705,Salaried,Sarahland,257382,24,23.2,25,0
240,36,99773,364,Student,Robertmouth,211402,48,14.92,34,1
241,46,117673,474,Business,New Bruce,301821,6,11.86,36,1
242,38,88317,885,Business,North Ashleymouth,340592,36,25.59,20,0
243,59,114491,396,Business,East Melvinville,45475,36,12.52,73,1
244,51,101441,303,Freelancer,Port Jimberg,436639,48,17.69,78,1
245,41,52862,848,Salaried,Gibsonfurt,424176,6,16.18,45,0
246,29,41283,540,Freelancer,East Danachester,37356,36,14.65,24,0
247,27,50719,675,Salaried,South Lisaport,443645,36,11.66,76,0
248,29,149762,570,Student,Stewartfort,387470,36,15.49,27,0
249,41,86960,734,Student,North Juanland,408837,12,12.13,37,0
250,33,148433,649,Salaried,South Sallyfurt,472088,36,15.43,48,0
251,38,91828,386,Student,South Emilyborough,332067,12,16.17,38,1
252,59,22504,783,Student,New Calebmouth,159816,36,21.49,12,0
253,51,128104,884,Freelancer,South Michellefurt,120624,36,14.91,88,0
254,39,135066,679,Freelancer,West Jacqueline,277650,36,19.92,32,0
255,36,37626,373,Business,Brownchester,134181,12,13.52,54,1
256,46,72013,476,Business,New John,224761,12,24.05,43,1
257,31,57808,597,Freelancer,Christopherberg,360366,48,11.5,23,0
258,37,111395,683,Salaried,East Stephanie,58377,48,12.95,71,0
259,54,98622,381,Student,Davidmouth,218065,12,20.55,11,0
260,52,49971,668,Business,Michaelfort,24886,12,10.26,58,0
261,40,61507,436,Student,Vanessamouth,365513,12,11.81,38,1
262,37,39344,885,Salaried,Reneemouth,382681,36,14.14,71,0
263,50,111679,581,Student,East Waynemouth,184894,12,25.34,23,0
264,48,75583,316,Salaried,Robertview,212554,48,15.05,81,1
265,35,65000,761,Salaried,New Nicolefurt,450157,36,19.17,9,0
266,49,129304,875,Salaried,New Jamesfurt,212610,12,20.92,70,0
267,26,64198,755,Salaried,Port Ernestview,169884,48,18.78,77,0
268,24,101607,555,Student,South Patrickberg,187185,24,12.3,20,0
269,37,58062,530,Freelancer,Lake Roger,76459,12,14.22,28,0
270,21,109021,539,Business,North Vickieburgh,254600,48,20.8,79,1
271,56,76294,541,Freelancer,Christopherland,20697,24,23.85,61,1
272,37,60635,508,Business,Port Amystad,350417,48,24.67,1,0
273,58,144398,327,Salaried,Cummingsfort,113950,36,11.23,5,0
274,22,100671,304,Freelancer,North Joshua,215653,6,26.37,76,1
275,37,137897,693,Business,North Kristin,46660,36,17.53,85,0
276,31,100782,550,Business,East Ethan,157144,24,13.2,80,0
277,55,17415,565,Business,Websterton,151943,48,12.92,6,0
278,42,82185,531,Business,New Carolyn,438929,6,14.0,23,0
279,44,99497,894,Business,Rodriguezbury,58949,48,22.71,69,0
280,25,140318,505,Salaried,Heidichester,137022,12,11.6,28,0
281,49,81754,852,Freelancer,New Katherine,51050,36,10.85,74,0
282,32,121954,355,Freelancer,Port Richardfurt,296737,36,21.15,50,1
283,39,43646,886,Salaried,East Katiechester,169439,36,14.83,60,0
284,32,18959,672,Student,Lake Bradleyberg,283720,36,16.58,45,0
285,46,109888,640,Freelancer,Jennifershire,88633,6,20.27,37,0
286,53,115584,672,Business,Port Dakota,396084,12,14.45,61,0
287,36,64562,417,Business,Edwardborough,162181,36,10.41,88,1
288,53,130854,579,Freelancer,Sanchezville,294395,12,15.21,66,0
289,26,118795,365,Business,Ericaton,406511,36,11.08,79,1
290,46,22934,505,Business,Toddport,469793,48,23.37,80,1
291,39,102660,738,Student,East Janetborough,206770,6,24.61,74,0
292,21,137443,512,Business,Frankport,149865,48,20.15,72,1
293,34,30341,759,Freelancer,Matthewview,166724,12,17.42,14,0
294,24,24122,543,Business,Mollymouth,296040,6,17.9,68,1
295,30,78531,375,Student,Jasmineton,309918,36,11.45,65,1
296,56,79599,764,Freelancer,Alexmouth,135152,48,10.25,50,0
297,55,32350,578,Student,Allenfurt,11549,48,23.68,22,0
298,30,64526,660,Salaried,North Kelly,123330,48,27.62,10,0
299,37,41779,638,Student,North Eduardo,361590,24,10.21,79,0
300,27,52000,658,Student,East Kimberlymouth,131965,24,12.77,35,0
301,26,16757,768,Salaried,Garciaborough,461205,48,14.51,9,0
302,35,18835,559,Business,North Jeanport,66038,48,11.58,66,0
303,52,103901,651,Salaried,Peterstown,255523,6,22.14,67,0
304,33,19284,502,Student,Port Jonshire,29608,12,25.8,72,1
305,29,49572,310,Freelancer,Lambport,264056,12,16.82,67,1
306,56,66334,840,Business,Christophermouth,148428,12,27.99,82,0
307,39,136449,777,Freelancer,Mcgeemouth,378826,24,21.48,55,0
308,40,105267,888,Salaried,South Abigail,252333,48,11.09,10,0
309,26,119455,437,Salaried,Taylorshire,21617,12,14.59,33,1
310,42,52133,816,Business,West Justin,490826,48,26.82,55,0
311,55,25459,527,Salaried,Meganborough,146587,24,15.91,74,1
312,49,66746,856,Student,Lawsonstad,442832,12,13.98,66,0
313,54,43247,460,Business,Jasonview,220155,24,21.47,75,1
314,25,73967,379,Freelancer,Port Ian,163012,36,20.5,10,0
315,57,117649,572,Freelancer,West Lawrence,422962,36,22.63,70,0
316,38,15461,507,Freelancer,Wardshire,147395,36,14.3,2,0
317,58,20006,681,Salaried,Port Andreaport,416967,48,12.59,61,0
318,50,53523,373,Student,New Sarah,73112,36,27.26,89,1
319,48,133022,633,Freelancer,Michaelland,302583,48,21.12,66,0
320,23,145385,780,Business,Ashleyside,342194,6,17.64,22,0
321,28,39686,595,Freelancer,West Suzannefurt,355374,48,22.37,29,0
322,45,71816,687,Salaried,New Marytown,207620,36,12.22,47,0
323,22,136018,539,Business,East Alexanderton,426679,12,10.97,40,1
324,52,110289,639,Freelancer,East Tanya,457091,36,13.82,14,0
325,21,108096,840,Salaried,Tamaraville,124116,48,17.2,21,0
326,27,19548,510,Business,Sanderston,323896,48,13.15,38,1
327,46,89398,795,Student,South Richard,300215,6,20.06,50,0
328,29,57280,399,Business,Smithport,260727,12,18.57,33,1
329,31,82478,583,Business,Jasminemouth,145276,6,21.38,48,0
330,44,122403,618,Freelancer,Wallerton,245269,12,23.04,89,0
331,25,87051,639,Student,East Melissaview,422335,24,23.65,86,0
332,27,99216,800,Business,West Brian,57832,36,13.68,51,0
333,47,52753,697,Freelancer,Garyfurt,447333,36,18.84,2,0
334,29,76879,832,Freelancer,Mariomouth,351264,12,11.14,67,0
335,56,59893,533,Salaried,East Anne,160461,6,24.65,71,1
336,56,37182,428,Salaried,New Juanstad,462238,12,15.36,1,0
337,34,26874,440,Freelancer,East Raymondport,159144,12,12.08,74,1
338,40,83154,691,Salaried,New Amy,406210,36,18.8,9,0
339,43,65953,491,Salaried,East Christopherland,433542,6,20.36,25,0
340,34,121460,643,Business,Fullerport,473047,48,17.37,25,0
341,27,116468,772,Student,New Christopher,339128,6,23.97,50,0
342,32,82763,414,Business,Shannonmouth,181188,48,10.67,77,1
343,56,66808,649,Salaried,North Charlestown,152510,24,26.49,19,0
344,51,82371,417,Salaried,Lake Jocelyn,468054,36,15.82,21,0
345,58,57854,873,Freelancer,Lopezmouth,221098,48,13.53,49,0
346,54,70869,508,Freelancer,South Adamport,155556,36,23.02,11,0
347,56,79594,437,Student,Justinport,262475,24,11.99,47,1
348,55,82835,481,Salaried,New Carolburgh,448865,48,22.82,17,0
349,24,106567,790,Student,Lake Nathanielstad,196125,48,23.32,15,0
350,46,72789,783,Salaried,Angelatown,363289,6,14.15,27,0
351,27,30683,618,Freelancer,Travisfurt,103368,48,16.86,63,0
352,45,44206,669,Freelancer,New George,461455,6,27.3,66,0
353,33,115214,678,Salaried,Jonesport,190697,24,22.95,52,0
354,58,45239,885,Freelancer,Katieberg,346680,6,13.4,31,0
355,35,95809,744,Freelancer,Hayesland,288778,24,18.8,22,0
356,44,99189,548,Freelancer,North Donald,212898,24,14.58,16,0
357,39,31144,593,Salaried,New Katrinashire,268693,6,22.13,87,0
358,56,96054,433,Salaried,Gonzalezport,239177,24,19.96,23,0
359,34,89866,698,Student,Sarahport,48226,24,20.19,6,0
360,45,25942,503,Business,Lake Dianefurt,336479,48,11.03,83,1
361,37,142778,612,Business,Frankbury,269781,24,12.85,9,0
362,37,79714,594,Freelancer,Martintown,192543,36,15.22,42,0
363,47,20481,332,Salaried,Wallside,410425,48,20.09,16,0
364,33,22772,742,Business,West Jeremyton,385122,48,16.1,31,0
365,32,25055,481,Freelancer,Coffeyton,408587,24,18.26,64,1
366,37,66330,761,Freelancer,New Jonathonchester,376248,6,26.9,45,0
367,44,117657,653,Freelancer,Meganborough,221036,24,14.78,87,0
368,58,30496,511,Business,New Carolyn,459121,48,13.99,23,0
369,49,135508,738,Salaried,Lake Douglas,483659,12,17.56,51,0
370,57,17372,491,Salaried,East Heather,272000,12,25.14,23,0
371,25,141884,488,Salaried,Greerside,32473,12,19.44,19,0
372,52,90464,332,Freelancer,Brianfurt,255822,48,27.04,17,0
373,23,21077,447,Salaried,Vincenthaven,82687,12,25.58,75,1
374,34,40734,574,Business,Lake Rebecca,73689,48,24.43,78,0
375,39,76893,832,Salaried,Daymouth,22299,24,11.52,66,0
376,36,118314,680,Salaried,Woodsside,401947,12,16.09,41,0
377,38,109706,354,Freelancer,Samanthatown,422859,12,13.28,28,0
378,29,92765,895,Freelancer,Sethmouth,65965,6,19.34,41,0
379,21,99582,585,Freelancer,West Sarahchester,275146,48,23.88,48,0
380,29,22415,371,Student,Lake Christopher,418385,36,11.06,82,1
381,53,149023,770,Student,New Jenniferland,378525,36,14.18,24,0
382,33,96183,484,Business,South John,109545,24,16.9,10,0
383,35,144204,698,Freelancer,Campbellfort,26459,6,13.31,78,0
384,59,25689,403,Freelancer,Lake Robertville,281080,6,18.02,47,1
385,57,68517,505,Student,Richardstad,417831,24,25.75,76,1
386,37,144062,369,Student,Rodneyborough,241029,36,13.83,13,0
387,47,135989,335,Student,East Brettview,197062,12,19.92,3,0
388,58,78811,719,Student,Hopkinsborough,383981,24,26.59,10,0
389,34,46380,401,Student,Bradfordburgh,231283,48,21.85,64,1
390,21,122114,862,Student,Lake Sarah,185344,36,22.48,65,0
391,46,48106,363,Business,Josephmouth,293676,24,22.9,79,1
392,54,103710,655,Business,Lake Christina,432930,24,13.96,87,0
393,53,17795,846,Business,South Blaketown,212099,48,13.1,25,0
394,53,116481,351,Salaried,Martinside,363384,48,13.21,87,1
395,46,128472,795,Business,Youngmouth,342537,36,26.66,88,0
396,39,85166,493,Business,Javierborough,66291,12,17.23,53,1
397,41,111604,524,Student,Port Carlview,256706,6,17.9,59,1
398,27,72598,343,Student,East Kimberlyfort,212675,6,24.95,3,0
399,40,63315,841,Salaried,East Williamstad,220382,12,10.54,22,0
400,49,106828,322,Student,South Autumn,265858,6,13.97,65,1
401,26,42853,506,Business,South Curtis,83381,24,12.67,39,1
402,59,53663,663,Freelancer,East Paul,83205,6,21.4,82,0
403,46,49211,452,Business,Youngview,58692,6,22.55,54,1
404,32,79004,552,Salaried,Brendachester,396735,12,13.33,49,0
405,49,51888,466,Freelancer,Sarahton,356929,6,20.6,27,0
406,30,121812,620,Business,Port Samantha,68461,12,20.99,27,0
407,40,24584,497,Salaried,West Jimmy,327004,48,26.5,23,0
408,44,80489,539,Student,North Victoria,30651,6,24.65,62,1
409,34,76099,332,Student,Jesusfort,467985,6,20.7,13,0
410,49,21816,856,Student,Howardberg,422854,6,19.09,89,0
411,25,114162,403,Freelancer,Benjaminshire,146041,6,15.59,17,0
412,37,91072,816,Student,Jennaton,83006,24,14.95,65,0
413,57,115280,724,Freelancer,Melindatown,206255,24,20.93,2,0
414,30,136612,835,Freelancer,Karaburgh,300960,6,21.37,65,0
415,44,126885,598,Salaried,New Carlyside,220799,36,22.69,38,0
416,33,136659,799,Student,Dakotafort,436791,48,25.4,4,0
417,34,96865,371,Business,South Anthony,433131,6,10.34,29,0
418,40,52202,767,Freelancer,South Scott,491685,12,25.79,51,0
419,33,129919,546,Business,Port Morganchester,157264,48,11.87,62,1
